,bef,aft,id_OTU
uniq3876,OTU_bef37,OTU_aft35,True
uniq3877,OTU_bef17,OTU_aft17,True
uniq3878,OTU_bef8,OTU_aft8,True
uniq3879,OTU_bef552,,False
uniq388,OTU_bef1,OTU_aft1,True
uniq3880,OTU_bef61,OTU_aft59,True
uniq3881,OTU_bef8,OTU_aft8,True
uniq3882,OTU_bef3,OTU_aft3,True
uniq3883,OTU_bef553,,False
uniq3884,OTU_bef28,OTU_aft28,True
uniq3885,OTU_bef120,,False
uniq3886,OTU_bef446,,False
uniq3887,OTU_bef2,OTU_aft2,True
uniq3888,OTU_bef37,OTU_aft35,True
uniq3889,OTU_bef3,OTU_aft3,True
uniq389,OTU_bef57,OTU_aft55,True
uniq3890,OTU_bef1,OTU_aft1,True
uniq3891,OTU_bef2,OTU_aft2,True
uniq3892,OTU_bef10,OTU_aft10,True
uniq3893,OTU_bef3,OTU_aft3,True
uniq3894,OTU_bef20,OTU_aft20,True
uniq3895,OTU_bef59,OTU_aft57,True
uniq3896,OTU_bef24,OTU_aft24,True
uniq3897,OTU_bef554,,False
uniq3898,OTU_bef1,OTU_aft1,True
uniq3899,OTU_bef3,OTU_aft3,True
uniq39,OTU_bef35,,False
uniq390,OTU_bef194,,False
uniq3900,OTU_bef10,OTU_aft10,True
uniq3901,OTU_bef8,OTU_aft8,True
uniq3902,OTU_bef534,,False
uniq3903,OTU_bef9,OTU_aft9,True
uniq3904,OTU_bef6,OTU_aft6,True
uniq3905,OTU_bef9,OTU_aft9,True
uniq3906,OTU_bef6,OTU_aft6,True
uniq3907,OTU_bef96,OTU_aft89,True
uniq3908,OTU_bef54,OTU_aft52,True
uniq3909,OTU_bef9,OTU_aft9,True
uniq391,OTU_bef24,OTU_aft24,True
uniq3910,OTU_bef555,,False
uniq3911,OTU_bef11,OTU_aft11,True
uniq3912,OTU_bef74,OTU_aft71,True
uniq3913,OTU_bef2,OTU_aft2,True
uniq3914,OTU_bef556,,False
uniq3915,OTU_bef2,OTU_aft2,True
uniq3916,OTU_bef9,OTU_aft9,True
uniq3917,OTU_bef2,OTU_aft2,True
uniq3918,OTU_bef557,,False
uniq3919,OTU_bef469,,False
uniq392,OTU_bef3,OTU_aft3,True
uniq3920,OTU_bef58,OTU_aft56,True
uniq3921,OTU_bef12,OTU_aft12,True
uniq3922,OTU_bef12,OTU_aft12,True
uniq3923,OTU_bef24,OTU_aft24,True
uniq3924,OTU_bef963,OTU_aft3,False
uniq3925,OTU_bef12,OTU_aft12,True
uniq3926,OTU_bef43,OTU_aft41,True
uniq3927,OTU_bef17,OTU_aft17,True
uniq3928,OTU_bef10,OTU_aft10,True
uniq3929,OTU_bef8,OTU_aft8,True
uniq393,OTU_bef195,OTU_aft153,True
