,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP5_tag03_F11,425,133,133,3,133,5,133,133,0,6
RNBC1_QLMSP5_tag03_F12,561,55,55,3,53,1,55,53,0,3
RNBC1_QLMSP5_tag03_F2,31,19,19,5,15,1,19,15,0,5
RNBC1_QLMSP5_tag03_F3,76,15,15,2,14,1,15,14,0,2
RNBC1_QLMSP5_tag03_F4,18,13,13,3,12,2,13,12,0,3
RNBC1_QLMSP5_tag03_F5,353,48,48,13,28,4,48,28,0,13
RNBC1_QLMSP5_tag03_F7,93,6,6,5,4,3,6,4,0,5
RNBC1_QLMSP5_tag03_F8,263,25,25,6,20,2,25,20,0,6
RNBC1_QLMSP5_tag03_F9,313,46,46,3,44,1,46,44,0,3
RNBC1_QLMSP5_tag03_G11,1164,151,151,4,150,3,151,150,0,4
RNBC1_QLMSP5_tag03_G12,308,29,29,9,22,3,29,22,0,10
RNBC1_QLMSP5_tag03_G1,474,95,95,6,94,7,95,94,0,9
RNBC1_QLMSP5_tag03_G2,486,69,69,10,63,5,69,63,0,10
RNBC1_QLMSP5_tag03_G3,80,22,22,6,17,3,22,17,0,6
RNBC1_QLMSP5_tag03_G4,777,65,65,3,64,2,65,64,0,3
RNBC1_QLMSP5_tag03_G5,471,58,58,3,56,1,58,56,0,3
RNBC1_QLMSP5_tag03_G6,68,6,6,3,6,3,6,6,0,3
RNBC1_QLMSP5_tag03_G7,633,54,54,1,54,1,54,54,0,1
RNBC1_QLMSP5_tag03_G8,598,93,93,5,89,2,93,89,0,5
RNBC1_QLMSP5_tag03_G9,482,70,70,6,67,3,70,67,0,6
RNBC1_QLMSP5_tag03_H11,118,26,26,10,19,3,26,19,0,10
RNBC1_QLMSP5_tag03_H1,631,57,57,2,57,2,57,57,0,2
RNBC1_QLMSP5_tag03_H2,392,94,94,4,94,4,94,94,0,5
RNBC1_QLMSP5_tag03_H3,106,13,13,6,9,2,13,9,0,6
RNBC1_QLMSP5_tag03_H4,7,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP5_tag03_H7,397,57,57,8,53,4,57,53,0,8
RNBC1_QLMSP5_tag03_H8,143,19,19,7,15,4,19,15,0,7
RNBC1_QLMSP5_tag03_H9,352,45,45,5,42,2,45,42,0,5
RNBC1_QLMSP6_tag05_A10,100,16,16,4,16,4,16,16,0,4
RNBC1_QLMSP6_tag05_A12,4267,472,472,33,450,13,472,450,0,35
RNBC1_QLMSP6_tag05_A2,2264,218,218,4,216,3,218,216,0,4
RNBC1_QLMSP6_tag05_A5,262,18,18,6,17,5,18,17,0,6
RNBC1_QLMSP6_tag05_A6,828,74,74,18,60,9,74,60,0,18
RNBC1_QLMSP6_tag05_A7,3724,537,537,6,536,5,537,536,0,6
RNBC1_QLMSP6_tag05_A8,2582,552,552,30,520,12,552,520,0,30
RNBC1_QLMSP6_tag05_B10,734,60,60,9,57,8,60,57,0,9
RNBC1_QLMSP6_tag05_B2,2716,261,261,5,261,5,261,261,0,5
RNBC1_QLMSP6_tag05_B3,3014,522,522,7,521,6,522,521,0,7
RNBC1_QLMSP6_tag05_B4,1035,306,306,8,305,6,306,305,0,8
RNBC1_QLMSP6_tag05_B5,332,37,37,10,30,4,37,30,0,10
RNBC1_QLMSP6_tag05_B6,91,31,31,15,25,9,31,25,0,15
RNBC1_QLMSP6_tag05_B8,1318,361,361,10,356,5,361,356,0,10
RNBC1_QLMSP6_tag05_C1,535,67,67,15,51,6,67,51,0,15
RNBC1_QLMSP6_tag05_C2,1393,289,289,6,288,5,289,288,0,6
RNBC1_QLMSP6_tag05_C3,3409,574,574,7,570,6,574,570,0,7
RNBC1_QLMSP6_tag05_C4,257,63,63,4,63,4,63,63,0,4
RNBC1_QLMSP6_tag05_C5,371,31,31,4,30,3,31,30,0,4
RNBC1_QLMSP6_tag05_C6,1141,245,245,19,228,9,245,228,0,19
RNBC1_QLMSP6_tag05_C8,1072,297,297,5,295,3,297,295,0,5
RNBC1_QLMSP6_tag05_D12,2161,452,452,10,443,4,452,443,0,10
RNBC1_QLMSP6_tag05_D1,377,52,52,19,42,10,52,42,0,19
RNBC1_QLMSP6_tag05_D2,2558,483,483,10,480,7,483,480,0,10
RNBC1_QLMSP6_tag05_D4,42,12,12,6,10,4,12,10,0,6
RNBC1_QLMSP6_tag05_D5,1413,121,121,15,112,9,121,112,0,15
RNBC1_QLMSP6_tag05_D7,5054,728,728,13,716,4,728,716,0,13
RNBC1_QLMSP6_tag05_D8,2079,422,422,9,418,5,422,418,0,9
RNBC1_QLMSP6_tag05_E10,2265,318,318,23,300,8,318,300,0,23
RNBC1_QLMSP6_tag05_E11,1850,197,197,13,184,6,197,184,0,13
RNBC1_QLMSP6_tag05_E12,3102,533,533,12,526,6,533,526,0,13
RNBC1_QLMSP6_tag05_E2,2463,467,467,8,466,7,467,466,0,8
RNBC1_QLMSP6_tag05_E3,3314,583,583,7,582,6,583,582,0,7
RNBC1_QLMSP6_tag05_E4,46,10,10,8,5,5,10,5,0,8
RNBC1_QLMSP6_tag05_E5,334,70,70,12,66,8,70,66,0,12
RNBC1_QLMSP6_tag05_E6,1478,265,265,11,262,9,265,262,0,11
RNBC1_QLMSP6_tag05_E7,5687,659,659,3,659,3,659,659,0,4
RNBC1_QLMSP6_tag05_E9,936,107,107,7,106,6,107,106,0,7
RNBC1_QLMSP6_tag05_F10,1451,216,216,27,195,11,216,195,0,27
RNBC1_QLMSP6_tag05_F11,1044,132,132,21,119,10,132,119,0,21
RNBC1_QLMSP6_tag05_F1,502,100,100,14,93,10,100,93,0,14
RNBC1_QLMSP6_tag05_F2,2269,226,226,6,226,7,226,226,0,8
RNBC1_QLMSP6_tag05_F3,3128,550,550,9,547,7,550,547,0,9
RNBC1_QLMSP6_tag05_F7,3170,538,538,27,517,5,538,517,0,27
RNBC1_QLMSP6_tag05_F8,3171,575,575,8,574,7,575,574,0,8
RNBC1_QLMSP6_tag05_F9,413,106,106,20,89,5,106,89,0,20
RNBC1_QLMSP6_tag05_G10,6068,597,597,21,569,7,597,569,0,21
RNBC1_QLMSP6_tag05_G12,1002,142,142,12,137,7,142,137,0,12
RNBC1_QLMSP6_tag05_G1,4259,365,365,10,362,8,365,362,0,10
RNBC1_QLMSP6_tag05_G2,3644,568,568,3,568,3,568,568,0,3
RNBC1_QLMSP6_tag05_G4,254,50,50,12,40,5,50,40,0,12
RNBC1_QLMSP6_tag05_G5,2592,321,321,20,308,9,321,308,0,20
RNBC1_QLMSP6_tag05_G6,4929,675,675,6,674,5,675,674,0,6
RNBC1_QLMSP6_tag05_G7,2914,492,492,13,481,6,492,481,0,13
RNBC1_QLMSP6_tag05_H11,3022,632,632,14,621,5,632,621,0,14
RNBC1_QLMSP6_tag05_H1,780,241,241,8,241,8,241,241,0,8
RNBC1_QLMSP6_tag05_H4,577,73,73,12,54,4,73,54,0,12
RNBC1_QLMSP6_tag05_H6,5866,815,815,8,802,4,815,802,0,8
RNBC1_QLMSP6_tag05_H7,2862,411,411,8,405,4,411,405,0,8
RNBC1_QLMSP7_tag06_A10,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A11,9,3,3,1,3,1,3,3,0,1
RNBC1_QLMSP7_tag06_A1,1281,113,113,9,107,4,113,107,0,9
RNBC1_QLMSP7_tag06_A3,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A4,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A5,2,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A6,2,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A9,1343,137,137,5,130,2,137,130,0,5
RNBC1_QLMSP7_tag06_A8,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_B11,17,10,10,1,10,1,10,10,0,1
RNBC1_QLMSP7_tag06_B2,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_B6,8,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP7_tag06_B7,15,11,11,2,11,2,11,11,0,2
RNBC1_QLMSP7_tag06_B8,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_C11,11,9,9,1,9,1,9,9,0,1
RNBC1_QLMSP7_tag06_C1,786,138,138,52,64,14,138,64,0,52
RNBC1_QLMSP7_tag06_C12,9,7,7,1,7,1,7,7,0,1
RNBC1_QLMSP7_tag06_C5,3,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_C6,468,97,97,22,87,13,97,87,0,22
RNBC1_QLMSP7_tag06_C7,912,236,236,11,233,6,236,233,0,11
RNBC1_QLMSP7_tag06_D11,8,6,6,3,6,3,6,6,0,3
RNBC1_QLMSP7_tag06_D12,10,4,4,1,4,1,4,4,0,1
RNBC1_QLMSP7_tag06_D1,5,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_D4,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_D5,3,3,3,3,2,2,3,2,0,3
RNBC1_QLMSP7_tag06_D6,5,4,4,1,4,1,4,4,0,1
RNBC1_QLMSP7_tag06_D7,298,35,35,7,34,6,35,34,0,10
RNBC1_QLMSP7_tag06_E10,3,2,2,2,2,2,2,2,0,2
RNBC1_QLMSP7_tag06_E11,4,3,3,1,3,1,3,3,0,1
RNBC1_QLMSP7_tag06_E12,12,9,9,1,9,1,9,9,0,1
RNBC1_QLMSP7_tag06_E1,2,2,2,2,2,2,2,2,0,2
RNBC1_QLMSP7_tag06_E2,5,3,3,3,2,2,3,2,0,3
RNBC1_QLMSP7_tag06_E4,2,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP7_tag06_E6,4,3,3,1,3,1,3,3,0,1
RNBC1_QLMSP7_tag06_E7,5,4,4,1,4,1,4,4,0,1
RNBC1_QLMSP7_tag06_E8,2,1,1,1,1,1,1,1,0,2
RNBC1_QLMSP7_tag06_E9,2,2,2,2,2,2,2,2,0,2
RNBC1_QLMSP7_tag06_F10,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_F11,4,2,2,1,2,1,2,2,0,1
RNBC1_QLMSP7_tag06_F12,6,3,3,1,3,1,3,3,0,1
