,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP6_tag05_E4,46,10,10,8,4,4,10,4,0,8
RNBC1_QLMSP6_tag05_E5,334,70,70,12,10,4,70,10,0,12
RNBC1_QLMSP6_tag05_E6,1478,265,265,11,11,6,265,11,0,11
RNBC1_QLMSP6_tag05_E7,5687,659,659,3,6,2,659,6,0,3
RNBC1_QLMSP6_tag05_E9,936,107,107,7,7,4,107,7,0,7
RNBC1_QLMSP6_tag05_F10,1451,216,216,27,21,8,216,21,0,27
RNBC1_QLMSP6_tag05_F11,1044,132,132,21,11,5,132,11,0,21
RNBC1_QLMSP6_tag05_F1,502,100,100,14,5,4,100,5,0,14
RNBC1_QLMSP6_tag05_F2,2269,226,226,6,4,3,226,4,0,6
RNBC1_QLMSP6_tag05_F3,3128,550,550,9,14,5,550,14,0,9
RNBC1_QLMSP6_tag05_F7,3170,538,538,27,15,3,538,15,0,27
RNBC1_QLMSP6_tag05_F8,3171,575,575,8,8,4,575,8,0,8
RNBC1_QLMSP6_tag05_F9,413,106,106,20,15,3,106,15,0,20
RNBC1_QLMSP6_tag05_G10,6068,597,597,21,38,3,597,38,0,21
RNBC1_QLMSP6_tag05_G12,1002,142,142,12,14,3,142,14,0,12
RNBC1_QLMSP6_tag05_G1,4259,365,365,10,6,3,365,6,0,10
RNBC1_QLMSP6_tag05_G2,3644,568,568,3,13,2,568,13,0,3
RNBC1_QLMSP6_tag05_G4,254,50,50,12,12,4,50,12,0,12
RNBC1_QLMSP6_tag05_G5,2592,321,321,20,11,4,321,11,0,20
RNBC1_QLMSP6_tag05_G6,4929,675,675,6,7,3,675,7,0,6
RNBC1_QLMSP6_tag05_G7,2914,492,492,13,18,6,492,18,0,13
RNBC1_QLMSP6_tag05_H11,3022,632,632,14,19,5,632,19,0,14
RNBC1_QLMSP6_tag05_H1,780,241,241,8,19,4,241,19,0,8
RNBC1_QLMSP6_tag05_H4,577,73,73,12,2,2,73,2,0,12
RNBC1_QLMSP6_tag05_H6,5866,815,815,8,14,2,815,14,0,8
RNBC1_QLMSP6_tag05_H7,2862,411,411,8,26,3,411,26,0,8
RNBC1_QLMSP7_tag06_A10,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A11,9,3,3,1,1,1,3,1,0,1
RNBC1_QLMSP7_tag06_A1,1281,113,113,9,2,2,113,2,0,9
RNBC1_QLMSP7_tag06_A3,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A4,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A5,2,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A6,2,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_A9,1343,137,137,5,0,0,137,0,0,5
RNBC1_QLMSP7_tag06_A8,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP7_tag06_B11,17,10,10,1,4,1,10,4,0,1
RNBC1_QLMSP7_tag06_B2,1,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_B6,8,2,2,1,1,1,2,1,0,1
RNBC1_QLMSP7_tag06_B7,15,11,11,2,1,1,11,1,0,2
RNBC1_QLMSP7_tag06_B8,1,1,1,1,0,0,1,0,0,1
RNBC1_QLMSP7_tag06_C11,11,9,9,1,3,1,9,3,0,1
RNBC1_QLMSP7_tag06_C1,786,138,138,52,24,11,138,24,0,52
RNBC1_QLMSP7_tag06_C12,9,7,7,1,1,1,7,1,0,1
